"Post Title",Post/Page,Domain,"Original Author","Original Post date","last edited Author","Last Modified Date","Number of Times Accessed","Total Hits"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Career Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Specialization in Energy Management",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Career Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Professional Designations",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Specialization in Accounting",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Articulation Agreements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Professional Designations",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"General Degree",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Undergraduate Programs",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Graduate Programs",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"New Brunswick",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"British Columbia",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Provincial Approvals",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Professional Designations",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Bachelor of Business Administration Admissions Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Academy Canada",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
mailpoet-moodle,page,azure.yorkvilleu.test,andrewnormore,1970-01-01T00:33:35Z,andrewnormore,1970-01-01T00:33:35Z,0,"0 View"
"Resources mobile",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"My Newsletter Profile",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Thanks for subscribing!",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Sorry to see you go...",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Career outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Learning Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Major Academic Report &amp; Research Project",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Program Timetable",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Educational Administration Specialization",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Leadership in Learning Specialization",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Education in Educational Leadership",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Admissions Advisor",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
Counselling/Psychology,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Bachelor of Business Administration",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Associate Faculty - Faculty of Education",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
Careers,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Contact the Bursar",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
Library,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"System Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"The Jacob Markovitz Memorial Scholarship",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"New Brunswick Provincial Government Employees Bursary Program",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"International Students",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Career Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Program Timetable",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Major Academic Report and Action Research Project",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:35Z,0,"0 View"
"Master of Education in Adult Education",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:35Z,mkamal,1970-01-01T00:33:37Z,0,"0 View"
"Apply Now - Thank You",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Request Information - Thank You",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Resources,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Employment Insurance Benefits",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Scholarships,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Life Long Learning Plan (LLP)",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Registered Education Savings Plan (RESP)",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Student Line of Credit",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Canada Student Loan Program",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Tuition and Fees",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Program Timetable",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Bachelor of Business Administration",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Graduation Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Credit Transfers",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Admission Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Career Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Search Results",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Sitemap,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Copyright Notice",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
